,id_post_vv,id,level,message,fecha
0,0,0,1,"🎓¡Graduémonos juntos del Estatuto! 🎓  💰La materia de hoy es el acceso al sistema financiero; y el ✅ PPT te brinda la oportunidad de poder abrir una cuenta. Lo que te garantizará seguridad con tu 💸 dinero, fácil acceso a tus recursos, mayor control de tus finanzas y…. ¡Mucho más! 🤩  😎 Varios bancos ya se encuentran abriendo cuentas a venezolanos con su PPT, acércate a la entidad financiera de tu interés y pregunta para obtener la tuya 💪  📢 ¡No esperes más! Y si tienes dudas del proceso 📲¡Escríbenos por WhatsApp! Acá te dejamos el link 👉 https://wa.link/26w9o7  #JuntosNosGraduamos #USAIDColombia #JuntosAprendemos #CollectiveImpact #TuAliadoParaInformarte  @juntosaprendemosco  @Usaid- US  Agency For International Development  | Partners of the Americas | Proantioquia  | Parque Explora  | FundacionCarvajal",2022-04-29
1,0,0,2,Gracias a Dios,2022-04-29
2,0,1,2,Buenas tardes en cuáles bancos porfa,2022-04-29
3,0,2,2,"La semana pasada me acerque a 3 entidades bancarias con mi PPT para aperturar cuenta, me contrato una ips y necesito una cuenta personal, la respuesta de estás 3 entidades fue que necesito cédula de extranjería, que con el PPT no podía aperturar cuenta",2022-04-29
4,0,3,2,"Y septiembre invisible y en el olvido, nadie nos da respuesta, nadie sabe nada, no dejan hacer el Biométrico otra vez ENTONCES",2022-04-29
5,0,4,2,Por favor Mi esposa le sale el PPT impreso Y ella hizo Biometrico en BOGOTA pero No sale nada reflejado : 6381480 a donde tiene que acudir?,2022-04-29
6,0,5,2,"Porque tanta bulla con el ppt? Por lo visto es lo mismo del PEP, mientras no haya una directriz clara siempre será así, lo venden como la maravilla del siglo y cuando una va a beiei una cuenta o sacar el pase o cualquier trámite, dicen no se puede, o te ponen las mil trabas",2022-04-29
7,0,6,2,Hola buenas tardes reclamé mi PPT y le faltó un número de la cédula que hago en ese caso,2022-04-29
8,0,7,2,"Tengo mi diploma de Bachiller, cómo hago para convalidar?  pues no está apostillado, gracias.",2022-04-29
9,0,8,2,Hola y cuando me podré sacar el pase,2022-04-29
10,0,9,2,"Buenas tardes, cuando podemos tener vida crediticia, no me aceptan el ppt, para linea de celular algo tan sencillo",2022-04-29
11,0,10,2,Hola quisiera me ayudarán si me llegó el mensaje de retirar el Ptp porque consulto en la página y dice que no está disponible,2022-04-29
12,0,11,2,En Bancolombia ya se puede abrir cuentas con el permiso nuevo ?,2022-04-29
13,0,12,2,"Quien ha podido en davivienda?, yo fui ayer y aceptan es el pep pero desde que me aprobaron el ppt me sale invalido y el ppt aun no lo estan aceptando",2022-04-30
14,0,13,2,"Saludos a todos..
Quien me puede guiar a sacar el rut con mi ppt
Porque es un requisito para aperturar las cuentas en cualquier banco.
Gracias",2022-04-30
15,0,14,2,Por favor responder porq las carreras del área de salud no se puede graduar uno con el ppt ya q dice la secretaria de salud q no es permitido y otras carreras si. Pueden explicar?,2022-04-30
16,0,15,2,"Ni sirve para nadaaaaaa ese permiso lamentablemente nacer Venezolano al parecer se convirtió en un delito, no sirven ni nuestros estudios ni nada",2022-04-30
17,0,16,2,Yo feliz por tener mi PPT que de paso le faltó el segundo nombre y por esa falla no puedo retirar en wester Unión. Y cuando hablamos de empleo no sirve así me dicen eso no es válido y yo digo pero si eso lo dió migración y me dicen si pero para nosotros no sirve. Total estamos desamparados aquí en Colombia. Yo y mi esposa somos profesionales y nos metimos en la chamba y eso de verdad no sirve. Cuando nos llaman nos dicen venezolanos no.,2022-05-01
18,0,17,2,Nos toca seguir a otro país donde si podamos tener oportunidades,2022-05-01
19,0,18,2,Siempre dicen eso y al final es pura mentira,2022-05-01
20,0,19,2,Una pregunta me pidieron una carta de antecedentes penales yo lo puedo hacer con mi documento? Yo lo hice y me salió con el nombre de otra persona,2022-05-01
21,0,20,2,"Hola , alguien me informe cuanto demora la oficina del sisben en realizar visita al hogar  ya una vez que se registro ?",2022-05-02
22,0,21,2,Puedo abrir cuenta si mi PPT tiene un error en uno de mis apellidos,2022-05-03
23,0,22,2,Quisiera estudiar una carrera pero no me inscribo por qué no sé si tendré problemas más adelante,2022-05-03
24,0,23,2,Buenos dia para todos leo los comdntario y me asombro yo soy docente graduada en Venezuela aqui vali un bachillerato y actualmente estudio en una universidad aqui con mi permiso y agradecida con Dios por toda las oportunidades que me a dado,2022-05-05
25,0,24,2,"Buen día. Soy abogada tengo mi Permiso Temporal Permanente. Preguntó, tengo que hacer reconciliación? 
Necesito un empleo, como abogada
Como asistente
Es decir necesito trabajar 
Gracias 
Gracias",2022-05-05
26,1,1,1,🗣 Nuestro pana Nicolás Mantilla se puso su toga y birrete 🎓 y nos acompaña a responder las dudas de nuestros 🇻🇪 hermanos venezolanos y 🇨🇴vecis sobre la integración social y económica en el marco del Estatuto. ¿Te lo vas a perder?🧐 ¡Rueeeda la voz! 📢  #JuntosNosGraduamos #USAIDColombia #JuntosAprendemos #CollectiveImpact #TuAliadoParaInformarte  Juntos Aprendemos - Colombia  @Usaid- US  Agency For International Development | @Partners of the Americas | Proantioquia | Parque Explora  | Fundación Carvajal |  @GciaFronterasCo,2022-04-28
27,1,0,2,"Entregas de PPT en Medellin del 27 al 30 de abril en el coliseo Carlos Mauro Hoyos, se entregan a  quienes les llegó el mensaje con la cita para recogerlo.",2022-04-29
28,1,1,2,Mi Pregunta es: ¿Es posible para nosotros los venezolanos comprar casa en Colombia? ¿Es posible comprar la casa por medio de créditos bancario y caja de compensación?,2022-04-29
