"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message";"created_time";"from.name";"status_type";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"0";"1";"None";"319662435565899";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 01:56:13.906370";"Facebook:/<page-id>/posts";"";"⁉️¿Los de septiembre tienen que hacer nuevamente el registro? ⁉️ . . 🔊 Activa el audio y entérate 💪 #TuAliadoParaInformarte";"2022-02-28T22:05:04+0000";"Voices of Venezuela";"added_video";"20";"46";"52";"42";"0";"0";"0";"3";"7"
"1";"3";"1";"319662435565899_1025855088279960";"data";"data.*";"fetched (200)";"2022-03-02 01:56:13.906370";"Facebook:/<page-id>/posts";"";"🤔 ¿Hiciste tu proceso en septiembre y aún no tienes tu permiso? 🤔 . . 📆 Desde el lunes 21 está habilitado el botón ✅ “Septiembre visible” en donde deberás llenar un formulario que  📍#MigraciónColombia evaluará para dar pronta respuesta a quienes aún no ha recibido su permiso. . . 👀 Acá te dejamos el link para que puedas hacer el proceso 👉 https://www.migracioncolombia.gov.co/septiembrevisibles  . . 💭 Y si tienes más dudas 📲 ¡Escríbenos a WhatsApp! Acá te dejamos el link 👉 https://wa.link/26w9o7 #TuAliadoParaInformarte";"2022-02-27T21:04:43+0000";"Voices of Venezuela";"added_video";"31";"78";"66";"53";"0";"0";"0";"12";"1"
"1";"4";"1";"319662435565899_1025224115009724";"data";"data.*";"fetched (200)";"2022-03-02 01:56:13.906370";"Facebook:/<page-id>/posts";"";"⁉️ ¿Cuál es el número del PPT? ⁉️ . . 💭 Sabemos que tienen dudas sobre esto pero ¡Tranquis! en #VoicesOfVenezuela les explicamos todo 😎 . . 👀 Donde dice “NO: XXXXXXX” es el número específico del PPT, y en donde está “VEN” que aparece también un número, se refiere al documento de nacionalidad venezolana con el que se registraron en el proceso🤝 . . 👤 Esto lo indicó el director de 📍#MigraciónColombia en su Facebook Live del 📆 16-02-2022, si aún te quedaron dudas 📲 ¡Escríbenos a WhatsApp! acá te dejamos el link 👉 https://wa.link/26w9o7 Con gusto te estaremos orientando. #TuAliadoParaInformarte";"2022-02-26T21:00:18+0000";"Voices of Venezuela";"added_video";"19";"32";"68";"61";"7";"0";"0";"0";"0"
"1";"5";"1";"319662435565899_1024581391740663";"data";"data.*";"fetched (200)";"2022-03-02 01:56:13.906370";"Facebook:/<page-id>/posts";"";"🤔¿Los PEP hay que renovarlos? 🤔 . . 🔉 Activa el audio y entérate con Nani, no te quedes con la información y comparte con otros panas venezolanos💪 #TuAliadoParaInformarte";"2022-02-25T21:35:09+0000";"Voices of Venezuela";"added_video";"16";"20";"67";"59";"8";"0";"0";"0";"0"
"1";"6";"1";"319662435565899_744531963601024";"data";"data.*";"fetched (200)";"2022-03-02 01:56:13.906370";"Facebook:/<page-id>/posts";"";"🤔 ¿Están entregando los permisos de septiembre? ¡Nani te lo cuenta todo! 💪  📢 Comparte con un pana la información y si tienes dudas déjanoslas en los comentarios, Nani te estará leyendo👀 #ETPV #HazteVisible #VenezolanosEnColombia";"2022-02-24T23:11:41+0000";"Voices of Venezuela";"added_video";"21";"119";"72";"54";"18";"0";"0";"0";"0"
"1";"7";"1";"319662435565899_1023927995139336";"data";"data.*";"fetched (200)";"2022-03-02 01:56:13.906370";"Facebook:/<page-id>/posts";"";"¡Desde Barlovento pa' Colombia! Nos complace compartirles un poco de la historia de nuestra fundadora Nani❤️";"2022-02-24T19:43:31+0000";"Voices of Venezuela";"mobile_status_update";"3";"7";"163";"128";"35";"0";"0";"0";"0"
"1";"8";"1";"319662435565899_1023369615195174";"data";"data.*";"fetched (200)";"2022-03-02 01:56:13.906370";"Facebook:/<page-id>/posts";"";"🤔 ¿Necesitas trabajar?  ¡Ingresa a La Migra Chamba! 💪 . . 👉 Pana en nuestro WhatsApp encontrarás increíbles oportunidades para trabajar, tips de cómo hacer tu hoja de vida, cómo formalizar tu emprendimiento y mucho más 😎 . . 💭 ¿Qué esperas? 📲 ¡Escríbenos! Acá te dejamos el link que te llevará directamente hasta nuestro WhatsApp 👉 https://wa.link/26w9o7 #TuAliadoParaInformarte";"2022-02-23T22:24:15+0000";"Voices of Venezuela";"added_video";"44";"33";"94";"83";"11";"0";"0";"0";"0"
"1";"9";"1";"319662435565899_1021539258711543";"data";"data.*";"fetched (200)";"2022-03-02 01:56:13.906370";"Facebook:/<page-id>/posts";"";"⁉️¿Necesitas trabajar? ¡No te pierdas esto!‼️ . . 💪 Nuestros panas de Free, brindan oportunidades laborales, así como herramientas para crear tu plan de vida y fortalecer tus habilidades personales. . . ✅ Para que te puedas postular y ser parte de este programa sigue los pasos que te explicamos en el video, acá te dejamos el link de su página web 👉 https://freecontigo.com/  . . 💭 Y si tienes más dudas 📲 ¡Escríbenos por WhatsApp! Acá te dejamos el link que te llevará directamente hasta allá 👉 https://wa.link/26w9o7";"2022-02-20T21:18:23+0000";"Voices of Venezuela";"added_video";"53";"23";"105";"95";"10";"0";"0";"0";"0"
"1";"10";"1";"319662435565899_1020277522171050";"data";"data.*";"fetched (200)";"2022-03-02 01:56:13.906370";"Facebook:/<page-id>/posts";"";"🤔 ¿Septiembre invisible? 🤔 . . ‼️ ¡Falso! Entérate de las últimas noticias que dijeron sobre los permisos de este mes y si estás interad@ en ver todo el en vivo, lo encontrarás en la página de Facebook o Youtube💪 . . 💭 ¿Qué esperas para compartir con otros hermanos venezolanos? ¡Rueda la voz yaaa! Y si aún te quedaron dudas, ¡Escríbenos a WhatsApp! Acá te dejamos el link 👉 https://wa.link/26w9o7";"2022-02-18T21:06:27+0000";"Voices of Venezuela";"added_video";"30";"38";"107";"101";"5";"0";"0";"1";"0"
