"level","id","parent_id","object_id","object_type","object_key","query_status","query_time","query_type","id","message","created_time","from.name","from.id","status_type","comments","comments.data","shares.count","summary","summary.total_count","summary.can_like","summary.has_liked"
"0","1","None","319662435565899","seed","","","None","None","","","","","","","","","","","","",""
"1","2","1","319662435565899_1204588247073309","data","data.*","fetched (200)","2022-11-23 00:35:53.394959","Facebook:/<page-id>/posts","319662435565899_1204588247073309","🚨¡No caigas en estafas! 🚨  📆 Aún no hay fechas establecidas para la apertura de la 📍Embajada Venezolana en Colombia, de momento sólo está habilitada una página web en dónde puedes hacer algunos trámites📃  👀 Así que ojo pelao pues, no dejes que te engañen con falsos procesos y ""costos"" que ofrecen por ahí🔍  ‼️Epaaa y ayuda a más personas, rueda la voz compartiendo esta información. #TuAliadoParaInformarte","2022-11-22T22:37:25+0000","Voices of Venezuela","319662435565899","added_photos","{""data"": [{""created_time"": ""2022-11-22T23:22:56+0000"", ""message"": ""Cual es la.pagina de la embajada y que tramites puedo sacar""}], ""paging"": {""cursors"": {""before"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZAOVFExTmpFMU5qTXdORFV3TXpFek16b3hOalk1TVRVNU16YzIZD"", ""after"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZAOVFExTmpFMU5qTXdORFV3TXpFek16b3hOalk1TVRVNU16YzIZD""}}}","","1","","","",""
"1","3","1","319662435565899_1203953193803481","data","data.*","fetched (200)","2022-11-23 00:35:53.394959","Facebook:/<page-id>/posts","319662435565899_1203953193803481","‼️¡No te peles el Entregatón!‼️  🔋 Ponte las pilas y retira tu PPT, desde el 21 al 25 de noviembre 📍#MigraciónColombia estará en el Palacio de los Deportes de Bogotá haciendo entrega de permisos, puedes verificar si el tuyo se encuentra ahí en la página web de la entidad💻  📢 ¡Epa! y ayúdanos a que esta información le llegue a más personas, ruuuueda la voz compartiendo esta publicación con todos tus panas para que retiren su PPT😎","2022-11-21T22:53:07+0000","Voices of Venezuela","319662435565899","added_photos","{""data"": [{""created_time"": ""2022-11-22T00:35:47+0000"", ""message"": ""Yo fui y lo que me dijeron fue si no le a llegado el el mensaje hay que esperar si m\u00ed permiso ya est\u00e1 impreso hace rato \nSi no les a llegado el mensaje ni vallan a perder tiempo pasaje""}, {""created_time"": ""2022-11-22T06:44:03+0000"", ""message"": ""Hola s\u00e9 que el tema es distinto pero me gustar\u00eda saber si ya tienen informaci\u00f3n nueva sobre las licencias de conducir es que estuve revisando y ya aparece en la ventanilla \u00fanica de pagos la opci\u00f3n para registrarnos con el PPT""}, {""created_time"": ""2022-11-22T15:16:15+0000"", ""message"": ""Hola solo ser\u00e1 entrega o tambi\u00e9n registro biom\u00e9trico?""}, {""created_time"": ""2022-11-22T16:48:43+0000"", ""message"": ""Hola nano cuando vienen a Barranquilla. el permiso de mi esposo nada q se lo entregan.!! y va cada 15 d\u00edas a migraci\u00f3n.!!   ya a metido PQR  y nada y cartas a migraci\u00f3n Bogot\u00e1 y no le dan solucion""}, {""created_time"": ""2022-11-22T18:53:20+0000"", ""message"": ""Yo tengo m\u00e1s de un a\u00f1o que ize mi proceso y a\u00fan no me han aprobado mi permiso""}], ""paging"": {""cursors"": {""before"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZAOalV3TlRZAeE56STJOemt3TlRJMk9qRTJOamt3Tnpjek5EZAz0ZD"", ""after"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZAOVE00TmpRNE9USXhNVEl3TlRrNE9qRTJOamt4TkRNeU1ERT0ZD""}}}","","7","","","",""
"1","4","1","319662435565899_1201909120674555","data","data.*","fetched (200)","2022-11-23 00:35:53.394959","Facebook:/<page-id>/posts","319662435565899_1201909120674555","👋¡Epa mi pana!👋  ⏰ Luego de 5 años con tu PPT podrás optar por una visa de residente y si tenías PEP ese tiempo será contado, ya que uno de los requisitos para optar por esta visa son estar 5 años de manera regular en Colombia📃  👀 Ten en cuenta que las visas tienen un costo y además debes tener una serie de documentos que solicitan🤝  💭¿Te quedaron dudas?📲¡Llégate al WhatsApp! Acá te dejamos el link👉https://wa.link/26w9o7","2022-11-20T22:20:02+0000","Voices of Venezuela","319662435565899","added_photos","{""data"": [{""created_time"": ""2022-11-20T22:28:50+0000"", ""message"": ""Q requisitos piden para la visa de residente""}, {""created_time"": ""2022-11-20T22:31:05+0000"", ""message"": ""Una pregunta,c\u00f3mo se hace para cancelar el PPT ,ya que la persona se devolvi\u00f3 para Venezuela?""}, {""created_time"": ""2022-11-20T22:36:28+0000"", ""message"": ""Hay mucha gente que nisiquiera le ha salido""}, {""created_time"": ""2022-11-20T22:44:15+0000"", ""message"": ""Nani una pregunta si cuenta el tiempo del Pep Aun saliendo mi ppt con la cedula yno cn el numero q tenia mi pep""}, {""created_time"": ""2022-11-20T22:49:23+0000"", ""message"": ""Y que tiempo se puede sacar la c\u00e9dula de ciudadan\u00eda?""}, {""created_time"": ""2022-11-20T22:51:30+0000"", ""message"": ""Informaci\u00f3n""}, {""created_time"": ""2022-11-20T23:01:21+0000"", ""message"": ""Cu\u00e1les son los requisitos""}, {""created_time"": ""2022-11-20T23:22:27+0000"", ""message"": ""Buenas noches si ya una persona tiene los 5 a\u00f1os puede solicitarle visa al familiar directo que tenga 3 a\u00f1os  aqu\u00ed o no""}, {""created_time"": ""2022-11-20T23:29:37+0000"", ""message"": ""Buenas noches beneficios de solicitarla?""}, {""created_time"": ""2022-11-20T23:45:19+0000"", ""message"": ""Hola ustedes me podr\u00edan ayudar a casarme en Colombia con un colombiano. \nQueremos adoptar a mi sobrina y nos piden ese requisito. Por favor ay\u00fadenme Voices of Venezuela""}, {""created_time"": ""2022-11-21T00:16:09+0000"", ""message"": ""La visa Colombiana es la m\u00e1s cara\ud83d\ude31""}, {""created_time"": ""2022-11-21T00:27:22+0000"", ""message"": ""Tengo 2a\u00f1os esperando y nada""}, {""created_time"": ""2022-11-21T00:39:36+0000"", ""message"": ""La visa de residente es indefinido o tambi\u00e9n hay que estarla actualizando cada 5 aa\u00f1os o algo as\u00ed ???""}, {""created_time"": ""2022-11-21T00:42:10+0000"", ""message"": ""Me podr\u00edan informar yo tengo mi PeP ramv 2018 pero a mis hijas no se los pude sacar en ese entonces, ya en mayo 2023 cumplimos 5 a\u00f1os ser\u00e1 que ellas tambi\u00e9n pueden optar por la visa?""}, {""created_time"": ""2022-11-21T00:42:13+0000"", ""message"": ""Hola y si uno entro ilegal sin pasaporte pero ya uno tiene el tiempo con su ppt obligado hay que tener pasaporte""}, {""created_time"": ""2022-11-21T01:03:00+0000"", ""message"": ""Hola Nani saludos y para lo que no tenemos pasaporte?""}, {""created_time"": ""2022-11-21T01:26:02+0000"", ""message"": ""Hola nani que sabes de una entrega masiva que se realizara en los proximos dias""}, {""created_time"": ""2022-11-21T02:13:49+0000"", ""message"": ""Y como se va a tramitar si no tengo el documento en mis manos""}, {""created_time"": ""2022-11-21T02:35:29+0000"", ""message"": ""Toca tener pasaporte tambi\u00e9n""}, {""created_time"": ""2022-11-21T05:45:22+0000"", ""message"": ""Que vale la visa?""}, {""created_time"": ""2022-11-21T09:52:52+0000"", ""message"": ""Te hablan de visa de residente porque a la final este ppt no te permite tener vida crediticia. Este ppt solo es un documento para estar legal m\u00e1s no para otras entidades.""}, {""created_time"": ""2022-11-21T14:30:41+0000"", ""message"": ""Igual teng 6 a\u00f1os aqu\u00ed pero com no teng pasaporte no pud resivir ese beneficio ser\u00e1 que no""}, {""created_time"": ""2022-11-21T19:33:57+0000"", ""message"": ""EEUU y los pa\u00edses Europeos , 5 a\u00f1os m\u00e1s aqu\u00ed y no c q ir\u00e1 a pasar con nosotros""}, {""created_time"": ""2022-11-22T00:14:43+0000"", ""message"": ""Hola buenas noches que pasar\u00e1 con los ppt de Puerto carre\u00f1o uno va a la oficina de migraci\u00f3n y s\u00f3lo responden ni sabemos cu\u00e1ndo llegan nuevamente.""}, {""created_time"": ""2022-11-22T02:17:52+0000"", ""message"": ""Y los que no tienen pasaporte?..""}], ""paging"": {""cursors"": {""before"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZANVE15TVRBM016ZA3pNVGMyT0RJeU9Eb3hOalk0T1Rnek16TXgZD"", ""after"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZAOVEl6TkRrek1EQXlOelk1TURRMk9qRTJOamt3T0RNME56TT0ZD""}, ""next"": ""https://graph.facebook.com/v13.0/319662435565899_1201909120674555/comments?access_token=EAABj9aBk8VwBAF4ZBfwfoVLoLLmxb6et7VtfDKUXZCSM1ZANLYH9fNZBB7eyjR0F5owZA5f0UZCbNdzxcskl3Q9Fz3ksyJvHejD07JLFPOkaS9hftLNZBI78KdWqBl2NV5JE7Iwgn9cZAQgLAju5DmDBfFcW7Ktvnqfw6QZBBF0kvowZDZD&limit=25&after=WTI5dGJXVnVkRjlqZAFhKemIzSTZAOVEl6TkRrek1EQXlOelk1TURRMk9qRTJOamt3T0RNME56TT0ZD""}}","","15","","","",""
"1","5","1","319662435565899_1201903940675073","data","data.*","fetched (200)","2022-11-23 00:35:53.394959","Facebook:/<page-id>/posts","319662435565899_1201903940675073","🤤 ¿Alguien más se siente así o solo nosotros? 🤤  🫣 En nuestro equipo ya estamos ansiosos por comernos nuestra primera hallaca y hacemos conteo de los días que faltan para Navidad🎅🏻","2022-11-19T22:20:01+0000","Voices of Venezuela","319662435565899","added_video","{""data"": [{""created_time"": ""2022-11-21T03:40:59+0000"", ""message"": ""Natilla y bu\u00f1uelos?????""}], ""paging"": {""cursors"": {""before"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZAPRFE1TkRFeU9UZA3lPVEV3TkRBd09qRTJOamt3TURJd05Uaz0ZD"", ""after"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZAPRFE1TkRFeU9UZA3lPVEV3TkRBd09qRTJOamt3TURJd05Uaz0ZD""}}}","","","","","",""
"1","6","1","319662435565899_1201874294011371","data","data.*","fetched (200)","2022-11-23 00:35:53.394959","Facebook:/<page-id>/posts","319662435565899_1201874294011371","⁉️¿Quieres abrir una cuenta digital y tener una tarjeta débito Mastercard internacional desde tu celular? ⁉️  ⁉️️Completamente gratis y a $0 costos de mantenimiento⁉️  👀 Entérate de cómo hacerlo el 📆24-11-22 a las 6:00 pm, nuestros panas de @uala.arg nos explicarán todos los detalles para acceder a esta aplicación, un servicio totalmente seguro y super fácil de adquirir😎  💪 Súmate a ayudar a otras personas, rueda la voz con todos tus panas contándoles sobre el en vivo 📢","2022-11-18T22:29:42+0000","Voices of Venezuela","319662435565899","added_photos","{""data"": [{""created_time"": ""2022-11-18T22:35:27+0000"", ""message"": ""Ya la tengo!""}, {""created_time"": ""2022-11-18T22:35:44+0000"", ""message"": ""Hola si se puede abrir la cuenta uala o no""}, {""created_time"": ""2022-11-18T22:36:41+0000"", ""message"": ""Hola es cuenta de ahorros""}, {""created_time"": ""2022-11-18T22:37:25+0000"", ""message"": ""Yo quiero""}, {""created_time"": ""2022-11-18T22:37:31+0000"", ""message"": ""Como seria""}, {""created_time"": ""2022-11-18T22:39:25+0000"", ""message"": ""Me interesa""}, {""created_time"": ""2022-11-18T22:40:44+0000"", ""message"": ""Yajaira Ortega mira""}, {""created_time"": ""2022-11-18T22:43:05+0000"", ""message"": ""Hoy me llego la targeta""}, {""created_time"": ""2022-11-18T22:43:37+0000"", ""message"": ""La tengo mas no me a llegado  la targta""}, {""created_time"": ""2022-11-18T22:43:58+0000"", ""message"": ""Miguel J H Lopez""}, {""created_time"": ""2022-11-18T22:52:15+0000"", ""message"": ""Paula Herrera mira""}, {""created_time"": ""2022-11-18T22:52:32+0000"", ""message"": ""C\u00f3mo se puede Aser eso""}, {""created_time"": ""2022-11-18T23:00:08+0000"", ""message"": ""Tengo 3 meses que abri la cuenta. Y aun estoy esperando la tarjeta de debito\ud83d\ude0f""}, {""created_time"": ""2022-11-18T23:03:46+0000"", ""message"": ""Yo sigo esperando la fulana tarjeta""}, {""created_time"": ""2022-11-18T23:20:58+0000"", ""message"": ""Yo abr\u00ed mi cuenta y a la semana me llego la tarjeta  es excelente""}, {""created_time"": ""2022-11-18T23:21:32+0000"", ""message"": ""Eso es solo con ppt cierto""}, {""created_time"": ""2022-11-18T23:22:04+0000"", ""message"": ""Yo tengo ya casi dos meses que abr\u00ed la cuenta y a\u00fan espero la tarjeta""}, {""created_time"": ""2022-11-18T23:25:45+0000"", ""message"": ""Miguel Trujillo""}, {""created_time"": ""2022-11-18T23:28:31+0000"", ""message"": ""Solo sirve en Colombia, en el exterior ninguna de esas aplicaciones virtuales bancarias funciona. Lo certific\u00f3 x lo tanto no son internacional ya que x los puntos las tarjetas no pasan.""}, {""created_time"": ""2022-11-18T23:30:29+0000"", ""message"": ""Es r\u00e1pido y ch\u00e9vere, la recomiendo, el proceso es r\u00e1pido y te entregan tu tarjeta""}, {""created_time"": ""2022-11-18T23:47:15+0000"", ""message"": ""Gloria a Dios que bueno""}, {""created_time"": ""2022-11-19T00:03:18+0000"", ""message"": ""Llevo como 3 meses esperando la tarjeta y nada""}, {""created_time"": ""2022-11-19T00:21:13+0000"", ""message"": ""Quiero informaci\u00f3n sobre la jornada de entrega de permiso que se realizar\u00e1 en estos d\u00edas""}, {""created_time"": ""2022-11-19T02:10:10+0000"", ""message"": ""Me interesa m\u00e1s informaci\u00f3n x favor""}, {""created_time"": ""2022-11-19T02:24:44+0000"", ""message"": ""Cobran porcentaje""}], ""paging"": {""cursors"": {""before"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZANelkxTmpJeU1EWXlOREk0TkRneE9qRTJOamc0TVRBNU1qYz0ZD"", ""after"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZANVFEzTmprNU5EazRPVFExTVRZANE1Ub3hOalk0T0RJME5qZAzEZD""}, ""next"": ""https://graph.facebook.com/v13.0/319662435565899_1201874294011371/comments?access_token=EAABj9aBk8VwBAF4ZBfwfoVLoLLmxb6et7VtfDKUXZCSM1ZANLYH9fNZBB7eyjR0F5owZA5f0UZCbNdzxcskl3Q9Fz3ksyJvHejD07JLFPOkaS9hftLNZBI78KdWqBl2NV5JE7Iwgn9cZAQgLAju5DmDBfFcW7Ktvnqfw6QZBBF0kvowZDZD&limit=25&after=WTI5dGJXVnVkRjlqZAFhKemIzSTZANVFEzTmprNU5EazRPVFExTVRZANE1Ub3hOalk0T0RJME5qZAzEZD""}}","","38","","","",""
"1","7","1","319662435565899_1201023730763094","data","data.*","fetched (200)","2022-11-23 00:35:53.394959","Facebook:/<page-id>/posts","319662435565899_1201023730763094","🌸¡Una ayuda para las mamitas! 🌸  🔊 Activa el audio y entérate del increíble programa que tienen nuestros panas de Fundación Juntos Se Puede , acá te dejamos el link para que te registres 👉https://docs.google.com/forms/d/e/1FAIpQLSeqNu0DUHWbGWtLq5UAmJxuwKsxfiMiETMVGyLhlSORfKpT4A/viewform  🫂 Epa y súmate ayudar a otras personas, comparte esta publicación para que llegue a muchas madres venezolanas 💝","2022-11-17T23:45:14+0000","Voices of Venezuela","319662435565899","added_video","{""data"": [{""created_time"": ""2022-11-17T23:50:12+0000"", ""message"": ""Hola ,es solo para mujeres embarazadas""}, {""created_time"": ""2022-11-17T23:55:56+0000"", ""message"": """"}, {""created_time"": ""2022-11-18T00:00:13+0000"", ""message"": ""No sale la opci\u00f3n para Santander""}, {""created_time"": ""2022-11-18T00:14:57+0000"", ""message"": ""Naty G\u00f3mez""}, {""created_time"": ""2022-11-18T00:27:43+0000"", ""message"": ""Veru Mart\u00ednez""}, {""created_time"": ""2022-11-18T00:57:26+0000"", ""message"": ""S\u00f3lo para madre embarazada nada mas""}, {""created_time"": ""2022-11-18T01:06:41+0000"", ""message"": ""Estoi en barasada""}, {""created_time"": ""2022-11-18T01:50:35+0000"", ""message"": ""Hola estoy embarazada....""}, {""created_time"": ""2022-11-18T01:56:27+0000"", ""message"": ""Hola nani tiene que ser con el ppt""}, {""created_time"": ""2022-11-18T02:24:14+0000"", ""message"": ""No sale la opci\u00f3n en cali""}, {""created_time"": ""2022-11-18T02:29:40+0000"", ""message"": ""Amiga tengo un proyecto para emprender desde casa si me pueden brindar la ayuda tengo una bebe y quiero emprender desde casa""}, {""created_time"": ""2022-11-18T04:07:02+0000"", ""message"": ""Pao Pao Blookeada""}, {""created_time"": ""2022-11-18T12:22:43+0000"", ""message"": ""Hola""}, {""created_time"": ""2022-11-18T13:42:06+0000"", ""message"": ""Nani es s\u00f3lo para las ciudades q mencionan en el formulario ? Me encuentro en riohacha""}, {""created_time"": ""2022-11-18T14:16:56+0000"", ""message"": ""y yo en cali y no aparece nani""}, {""created_time"": ""2022-11-18T17:04:02+0000"", ""message"": ""Jorge Luis Ramirez""}, {""created_time"": ""2022-11-18T17:15:11+0000"", ""message"": ""Hola Nanny yo quiero emprender desde casa tengo un beb\u00e9 peque\u00f1o como hago""}, {""created_time"": ""2022-11-18T18:18:53+0000"", ""message"": ""Hola estoy embarazada""}, {""created_time"": ""2022-11-18T18:24:39+0000"", ""message"": ""Hola Nani estoy en santa Marta pero no tiene sede ac\u00e1 as\u00ed que puse Barranquilla""}, {""created_time"": ""2022-11-18T20:58:18+0000"", ""message"": "", hola eso lo puede hacer una q no tenga el ppt""}, {""created_time"": ""2022-11-19T02:52:10+0000"", ""message"": ""Hola buenas noches soy madre soltera y emprendedora""}, {""created_time"": ""2022-11-19T18:12:18+0000"", ""message"": ""Hola nani, bendiciones te notifico que despu\u00e9s de tanta espera y que nunca perd\u00ed mi fe, el ppt me fue entregado\ud83e\udd73\ud83e\udd73 y lo otro que quer\u00eda decirte es que tan cierto es que el sena no acepta estudiar sin tener el t\u00edtulo apostillado ? Informarme por fav""}, {""created_time"": ""2022-11-19T18:13:25+0000"", ""message"": ""Pasame el link para una amiga gracias""}, {""created_time"": ""2022-11-19T21:14:39+0000"", ""message"": ""Hola nani muchas vendiciones tengo una Amiga.que hace poco vino de venezurla y quiere travajar cmo domestica y no encuentrx travdjo donde vs le dicen que dlas venezolanas no hay travsjo y ests desesperada ya wue dejo sus hijas slla para venir acer sintravsja y nadie le.da enpleo x favir cmo podrias ayudarla mi.trlefono.es 321660 8847""}, {""created_time"": ""2022-11-19T21:22:14+0000"", ""message"": ""Nzni la.smiga vive aq en barranwuilla.bo tiene nigun permiso xq apenas ella yego hace un mes y sale buscar trsvdjo y honde va le dicen wuenalas venezolanas no le dsn travsjo y ella esta desesperada ya que dejo dus hijitas en venezuela con los oadres y no encuentra trsvajo.ella tiene 41 uno.que podris hacer x ella es una se\u00f1ora muy responssble h travajadora.""}], ""paging"": {""cursors"": {""before"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZANVEUyTlRVNE9USXdOREEwTnpNNU9Eb3hOalk0TnpJNU1ERXkZD"", ""after"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZANVEl4TWpZAM05qWTBNamM0T1RNM05Ub3hOalk0T0RreU9UTTAZD""}, ""next"": ""https://graph.facebook.com/v13.0/319662435565899_1201023730763094/comments?access_token=EAABj9aBk8VwBAF4ZBfwfoVLoLLmxb6et7VtfDKUXZCSM1ZANLYH9fNZBB7eyjR0F5owZA5f0UZCbNdzxcskl3Q9Fz3ksyJvHejD07JLFPOkaS9hftLNZBI78KdWqBl2NV5JE7Iwgn9cZAQgLAju5DmDBfFcW7Ktvnqfw6QZBBF0kvowZDZD&limit=25&after=WTI5dGJXVnVkRjlqZAFhKemIzSTZANVEl4TWpZAM05qWTBNamM0T1RNM05Ub3hOalk0T0RreU9UTTAZD""}}","","49","","","",""
"1","8","1","319662435565899_1200153660850101","data","data.*","fetched (200)","2022-11-23 00:35:53.394959","Facebook:/<page-id>/posts","319662435565899_1200153660850101","👀 ¡Conoce tus derechos y beneficios cuando eres emplead@! 👀  📢 Ruuuueda la voz con tus panas y 💭 si tienes alguna duda. 📲 ¡Llégate al WhatsApp! Acá te dejamos el link 👉 https://wa.link/26w9o7","2022-11-16T22:20:01+0000","Voices of Venezuela","319662435565899","added_video","{""data"": [{""created_time"": ""2022-11-17T00:49:25+0000"", ""message"": ""hola una pregunta la caja de compensaci\u00f3n es como oh como se afilia ah\u00ed""}, {""created_time"": ""2022-11-17T03:47:16+0000"", ""message"": ""Tengo m\u00e1s de un a\u00f1o esperando mi permiso ya e ido a migraci\u00f3n varias veces fui a puntos visibles llame a migraci\u00f3n Bogot\u00e1 nadie me da respuesta concreta nadie me ayuda y lo estoy necesitando que puedo hacer""}, {""created_time"": ""2022-11-17T14:16:36+0000"", ""message"": ""donde trabajo no firme contrato: y no m3 pagan nada s\u00f3lo 800mensual""}, {""created_time"": ""2022-11-17T17:45:54+0000"", ""message"": ""Cuando eres dom\u00e9stica casi nunca cumplen que esto \u261d\ufe0fte pagan lo que les parece y te liquidan al gusto de ellos y si es que no te den nada \ud83d\ude17""}, {""created_time"": ""2022-11-17T22:07:07+0000"", ""message"": ""Hola yo voy para 4 a\u00f1os trabajando en una casa de familia pero tres a\u00f1os como no ten\u00eda papeles no me pagaban nada ni sueldo m\u00ednimo. Este a\u00f1o me comenzaron a pagar sueldo m\u00ednimo y todo lo de la ley . Pero pienso retirarme en diciembre que me tienen que pagar?""}], ""paging"": {""cursors"": {""before"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZAPREk1TmpFeU5EWTBOelV6TnprMk9qRTJOamcyTkRZAeE5qWT0ZD"", ""after"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZAORGc1T1RJM05ESTJORFV3TWpVMU9qRTJOamczTWpJNE1qZAz0ZD""}}}","","4","","","",""
"1","9","1","319662435565899_1199444144254386","data","data.*","fetched (200)","2022-11-23 00:35:53.394959","Facebook:/<page-id>/posts","319662435565899_1199444144254386","👋 ¡Hey hey! 👋  👀 Si requieres de algunos de estos servicios, puedes acudir a cualquiera de los 📍Centros Intégrate, se encuentran en Bogotá, Bucaramanga, Cali, Cartagena, Cúcuta, Medellín, Santa Marta y Riohacha, todo es totalmente gratuito✅  ❗No desaproveches esto, si quieres la dirección exacta déjanos un comentario y con gusto te la pasamos.  Recuerda compartir la publicación para que la información le lleguen a más personas😎","2022-11-15T22:28:39+0000","Voices of Venezuela","319662435565899","added_photos","{""data"": [{""created_time"": ""2022-11-15T22:43:32+0000"", ""message"": ""Buenas tardes. Por favor, Direcci\u00f3n en cuc\u00fata! Gracias""}, {""created_time"": ""2022-11-15T22:49:42+0000"", ""message"": ""Buenas tardes dond dice identificacion que es informaci\u00f3n por favor""}, {""created_time"": ""2022-11-15T22:52:58+0000"", ""message"": ""Medell\u00edn""}, {""created_time"": ""2022-11-15T22:55:19+0000"", ""message"": ""Buenas d\u00f3nde queda aqu\u00ed en Bogot\u00e1 por favor direccion""}, {""created_time"": ""2022-11-15T23:01:07+0000"", ""message"": ""Ah ya gracias por la informaci\u00f3n""}, {""created_time"": ""2022-11-15T23:03:12+0000"", ""message"": ""\u00d1e\n\nE""}, {""created_time"": ""2022-11-15T23:04:50+0000"", ""message"": ""Afiliacion de eps santa marta""}, {""created_time"": ""2022-11-15T23:23:53+0000"", ""message"": ""En el valle hay centro?""}, {""created_time"": ""2022-11-15T23:27:02+0000"", ""message"": ""Para la eps en Bogota centro""}, {""created_time"": ""2022-11-15T23:40:10+0000"", ""message"": ""en Cali por favor""}, {""created_time"": ""2022-11-15T23:43:30+0000"", ""message"": ""Buenas noches.   Direcci\u00f3n en Riohacha por favor""}, {""created_time"": ""2022-11-15T23:46:20+0000"", ""message"": ""Buenas en Barranquilla d\u00f3nde hay el punto?""}, {""created_time"": ""2022-11-15T23:52:08+0000"", ""message"": ""En santa Marta donde queda por favor""}, {""created_time"": ""2022-11-15T23:54:18+0000"", ""message"": ""Orientaci\u00f3n para la empleabilidad y emprendimiento en santa Marta por favor la direcci\u00f3n""}, {""created_time"": ""2022-11-15T23:55:00+0000"", ""message"": ""Hola direcci\u00f3n de Soacha danubio""}, {""created_time"": ""2022-11-16T00:30:19+0000"", ""message"": ""Buenas noches direcci\u00f3n en Bogot\u00e1""}, {""created_time"": ""2022-11-16T00:32:25+0000"", ""message"": ""Buenas tarde la direcci\u00f3n Bogot\u00e1 me encuentro por barrio San Jos\u00e9 cerca del Restrepo""}, {""created_time"": ""2022-11-16T00:33:29+0000"", ""message"": ""Hola y cartagena""}, {""created_time"": ""2022-11-16T00:38:39+0000"", ""message"": ""Hola buenas noches direccion de medellin""}, {""created_time"": ""2022-11-16T00:46:24+0000"", ""message"": ""Abra uno en santa rosa de cabal o pereira""}, {""created_time"": ""2022-11-16T00:46:38+0000"", ""message"": ""Buenas noches Barranquilla""}, {""created_time"": ""2022-11-16T00:48:42+0000"", ""message"": ""Buenas noches chicos la de Cartagena""}, {""created_time"": ""2022-11-16T01:00:47+0000"", ""message"": ""En Dosquebradas direcci\u00f3n por favor""}, {""created_time"": ""2022-11-16T01:04:06+0000"", ""message"": ""Buenas noches por favor me dices la direcci\u00f3n en Medell\u00edn para orientaci\u00f3n en salud""}, {""created_time"": ""2022-11-16T01:13:33+0000"", ""message"": ""Buenas tardes por favor direcci\u00f3n el bucaramanga""}], ""paging"": {""cursors"": {""before"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZANemMwTWpJeE9UTTRNakl6TmpnM09qRTJOamcxTlRJeU1UST0ZD"", ""after"": ""WTI5dGJXVnVkRjlqZAFhKemIzSTZAOamN4T1RFMU9Ea3dPVGt3TWpJek9qRTJOamcxTmpFeU1UTT0ZD""}, ""next"": ""https://graph.facebook.com/v13.0/319662435565899_1199444144254386/comments?access_token=EAABj9aBk8VwBAF4ZBfwfoVLoLLmxb6et7VtfDKUXZCSM1ZANLYH9fNZBB7eyjR0F5owZA5f0UZCbNdzxcskl3Q9Fz3ksyJvHejD07JLFPOkaS9hftLNZBI78KdWqBl2NV5JE7Iwgn9cZAQgLAju5DmDBfFcW7Ktvnqfw6QZBBF0kvowZDZD&limit=25&after=WTI5dGJXVnVkRjlqZAFhKemIzSTZAOamN4T1RFMU9Ea3dPVGt3TWpJek9qRTJOamcxTmpFeU1UTT0ZD""}}","","10","","","",""
"1","10","1","319662435565899_1198748457657288","data","data.*","fetched (200)","2022-11-23 00:35:53.394959","Facebook:/<page-id>/posts","319662435565899_1198748457657288","⁉️¿Estás siendo abusad@ de manera laboral, agredido física o mentalmente?⁉️  ✅ En la aplicación ""LibertApp"" podrás reportar este tipo de situaciones y en caso de que te sientes en riesgo existe un ""Botón del pánico"" donde al presionarlo las autoridades de auxiliarán de manera inmediata👮🏻‍♀️👮🏻‍♂️  📍Acá te dejamos el link para descargar la aplicación 👉 https://play.google.com/store/apps/details?id=com.oim  ❌¡No te quedes callad@! Y comparte la información, ayuda a otras personas con esta publicación.","2022-11-14T22:29:56+0000","Voices of Venezuela","319662435565899","added_photos","","","1","","","",""
