"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message";"created_time";"from.name";"status_type";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"319662435565899_1026522048213264";"2";"1";"1";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 01:56:13.906370";"Facebook:/<page-id>/posts";"";"⁉️¿Los de septiembre tienen que hacer nuevamente el registro? ⁉️ . . 🔊 Activa el audio y entérate 💪 #TuAliadoParaInformarte";"2022-02-28T22:05:04+0000";"Voices of Venezuela";"added_video";"20";"46";"52";"42";"0";"0";"0";"3";"7"
"319662435565899_1026522048213264/319662435565899_1026522048213264";"49";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Hola voices of Venezuela yo soy de octubre hice mi registro con mis hijos y solo me ha salido en permiso del menor de 5 años el resto de los niños ni el mio nada q ha pasado ustedes me pueden ayudar";"2022-02-28T22:07:41+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"50";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Puraaaa mentira estoy desde el 1ero de septiembre y nada de respuesta, fui al supercade donde tramite y nada de respuesta, realize el aplicativo de septiembre y nada de respuesta mas bien me canse";"2022-02-28T22:08:18+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"51";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Y lo de octubre";"2022-02-28T22:12:07+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"52";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Hola nani yo lo hice en el botón de septiembre el miércoles y el viernes me enviaron un correo de migración que fuera hoy con el Rumv la cédula y la prueba sumaría para hacer de nuevo el biométricos";"2022-02-28T22:13:13+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"53";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Hola soy del septiembre y si ya me sale impreso pero no me lo an entregado tambien tengo que hacer ese proceso";"2022-02-28T22:21:50+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"54";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Bueno los de septiembre creo q hemos sido invisible . Seguro .";"2022-02-28T22:22:35+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"55";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Y los de octubre para cuando";"2022-02-28T22:23:40+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"56";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Buenas tardes. Yo soy del 4 de septiembre y no he tenido respuesta me incluí en el aplicativo de septiembre visible y todavía no tengo respuesta. Entonces como quedara mí registro? Me pueden informar. Gracias";"2022-02-28T22:23:50+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"57";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Yo hice lo del botón y nada ni correo ni llamadas";"2022-02-28T22:25:50+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"58";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Hola y lo que ya hicimos lo del botón para cuando nos dan respuesta ya yo lo hice y solo me mandaron el radicado";"2022-02-28T22:27:27+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"59";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Buenas tardes Nani cuanto tenemos que esperar";"2022-02-28T22:30:56+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"60";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Yo soy de septiembre y a mi ya me salió hace rato gracias s dios";"2022-02-28T22:31:56+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"61";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Hola una pregunta me equivoque colocando la fecha cuando hize el biométrico yo fui al biométricos fue el 9 09 2021 y en boton de septiembre visible coloque 25 05 de 2021  sera qué tendre problema con eso";"2022-02-28T22:33:50+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"62";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Noooo";"2022-02-28T22:36:13+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"63";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Tube ese error sera que tengo que volver hacer lo de septiembre visible aunque me dice que me registre con éxito";"2022-02-28T22:36:45+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"64";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Hola consulto en la página de migración y nada yo soy de noviembre pero la página dice que no la actualizan desde el 11 de febrero...";"2022-02-28T22:40:57+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"65";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Buenas tarde, les comento que yo hice el biométrico el 2 de septiembre y no me ha salido ni siquiera aprobado. Ingrese al botón septiembre visibles y el sábado me llamó Migración para que repitiera el biométrico el Domingo";"2022-02-28T22:43:39+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"66";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"holqa nany me preocupa ya que ya llenen el formulario pero no me llego correo a la bandeja de entrada, que debo hacer ahora";"2022-02-28T22:53:41+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"67";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"En tonces era que lo hago";"2022-02-28T22:54:01+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"68";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Buenas tarde nani espero que estes bien mami una pregunta yo ya sali y mi esposo pero mi bebe d 2 año no yo le hice el registro a ell en septiembre tendra que ver algo ahi amor el no hiso biometrico pero si su registro fue en septiembre";"2022-02-28T22:54:19+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"69";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Sera que lo hago otra vez";"2022-02-28T22:54:23+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"70";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Nani";"2022-02-28T22:58:36+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"71";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Octubre";"2022-02-28T22:58:40+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"72";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Necesito   el run  de la niña  para  q me puedan  ver    con eps";"2022-02-28T22:59:04+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"73";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Yo lo he hecho 3 veces el formulario y nada que me llama lo hice el 21 de febrero,  el 25 y hoy nuevamente y NADAAAA";"2022-02-28T23:05:04+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"74";"2";"2";"319662435565899_1026522048213264";"offcut";"";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"75";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Hola amigos mi bebé de 4 años fue del 3 de septiembre me salió a mi y el de mi esposo ya yo hize lo de septiembre y me dio el número radicado que más tengo que hacer";"2022-02-28T23:16:30+0000";"";"";"";"";"";"";"";"";"";"";""
"319662435565899_1026522048213264/319662435565899_1026522048213264/319662435565899_1026522048213264";"76";"2";"2";"319662435565899_1026522048213264";"data";"data.*";"fetched (200)";"2022-03-02 02:12:22.116044";"Facebook:/<post-id>/comments";"";"Pero igual los de noviembre no tiene el permiso 😕";"2022-02-28T23:18:34+0000";"";"";"";"";"";"";"";"";"";"";""
