level;object_id;facebook_post_url;message;created_time;like_count;comment_count
1;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;🚶🏽‍♀🚶🏾Vas caminando por una calle del lugar nuevo al que llegaste y te encuentras con este letrero pegado en las paredes, los postes y las fachadas de los edificios.   🤔 💬 ¿Qué pensarías?   #HablemosDeMigraciónYDiscriminación  *Esta conversación se realiza con el apoyo del@bancomundialcolombia;2023-10-03T23:00:02+0000;;
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Sus razones tendra, para no arrendar. Eso es totalmente respetable.;2023-10-05T23:18:18+0000;10;2
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;El dueño del predio es quien decide   no veo el problema;2023-10-05T23:20:42+0000;25;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;🇨🇴😅⚖️;2023-10-05T23:45:06+0000;0;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;que por culpa de unos cuantos que hacen quedar el país como un c... en el exterior pagan todos;2023-10-05T23:49:39+0000;1;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Si son petroñeros esta bien 👏👏👏;2023-10-06T00:24:43+0000;46;91
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Sus razones tendrán no? Por ejemplo acá mucho pesar y todo pero a venezolanos no le alquilamos porque ellos mismos han logrado que sean las cosas así;2023-10-06T00:33:45+0000;0;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Que a nosotros los Colombianos no nos quieren ni ver;2023-10-06T00:53:42+0000;0;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Andres Portela Loaiza porque tanto odio todavía no lo a superado jajaajj todavía le arde jajajja;2023-10-06T00:59:02+0000;9;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Y el de Colombia entero;2023-10-06T00:59:54+0000;0;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Andres Portela Loaiza La clase les sale por los poros ...Esto no es política mijito;2023-10-06T01:19:02+0000;3;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Jona Gaviria Sobretodo cuando va al baño 🤣🤣 el lomotil no le ha servido;2023-10-06T01:19:45+0000;2;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Patricia Luque gracias a Dios usted es muy clasuda 👏👏👏;2023-10-06T01:20:13+0000;1;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Héctor Pacheco ud es petrista? No parece;2023-10-06T01:20:53+0000;0;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Respetable. No podemos desconocer la terrible opinión que se tiene de los Colombianos en el exterior y con la bola de escándalos estaremos peor...Ya no nos gritaran traficantes,ya nos bautizaron con muchos más apodos vergonzosos y discriminatorios ... Lo merecemos por haber estado ciegos y tontos tanto tiempo;2023-10-06T01:22:42+0000;1;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Pues sus razones tendrá... 🤔🤔🤔🥴;2023-10-06T01:24:18+0000;1;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Cada propietario es libre de arrendar a quien desee;2023-10-06T01:31:13+0000;1;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Por algo será;2023-10-06T01:35:24+0000;3;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;Andres Portela Loaiza buena esa son una peste 🤣🤣🤣;2023-10-06T01:57:27+0000;0;0
2;407615769604377_871896044297908;https://www.facebook.com/MutanteOrg/posts/pfbid02ZBeUGuLaFHgB4DzhdEMvWdQyA7tyefmHEcgUMt2dwCNybJPmxwyvALaKfo4J4oCNl;RESPETABLE.... SUS MOTIVOS TENDRÁ O TENDRÁN  .....;2023-10-06T02:01:09+0000;2;0
