level;id;parent_id;object_id;object_type;object_key;query_status;query_time;query_type;message;created_time;updated_time;error.message
0;4;None;OrbitaPamplona;seed;;;None;None;;;;
1;9;4;110733080472262_709210697882912;data;data.*;fetched (200);2023-07-07 10:47:52.436908;Facebook:/<page-id>/posts;;2023-07-07T00:16:29+0000;2023-07-07T00:16:29+0000;
1;10;4;110733080472262_709165434554105;data;data.*;fetched (200);2023-07-07 10:47:52.436908;Facebook:/<page-id>/posts;#Atención #Nacional  CM& CONFIRMA QUE IVÁN MÁRQUEZ , MURIÓ HACE UNOS MINUTOS   Fuentes informan que Iván Márquez, máximo cabecilla y jefe de las disidencias de las FARC, murió en las últimas horas en  Venezuela   La muerte habría sido causada por las graves heridas que sufrió tras un atentado en el mes de agosto de 2022.   Iván Márquez tenía lesiones en sus pierrnas,  había perdido un brazo y  le quedaban algunas esquirlas en su cabeza, aunque  en unos meses se veía lúcido,  su estado se complicó en las últimas horas.  Cortesía  CM&;2023-07-06T22:33:54+0000;2023-07-06T22:35:50+0000;
1;11;4;110733080472262_709159267888055;data;data.*;fetched (200);2023-07-07 10:47:52.436908;Facebook:/<page-id>/posts;#Pamplona  ACTIVIDADES RECREATIVAS PARA NIÑOS DE LA CIUDAD   El Comando del Batallón de Infantería # 13 Gral. Custodio García Rovira en coordinación con el Batallón de apoyo de acción integral y desarrollo N° 2, administración municipal de Pamplona  Norte Santander, secretaria de infancia y adolescencia, ICBF, emisora Colombia estéreo 90.7 FM y Policía Nacional de Colombia realizo   función del  circo Colombia 2 a todos los niños de los grados  2, 3, 4 ,5 de  primaria del  colegio provincial de este municipio con una asistencia aproximada de 500 niños donde se realizaron presentaciones como acrobacia, show  de payasos, actividades lúdicas, concursos y  música, esto  con el fin  de contribuir al desarrollo de nuestra niñez y llevar un momento de alegría y esparcimiento a esta bella población turistas que visitan el municipio dejando en alto el nombre de la institución.;2023-07-06T22:22:33+0000;2023-07-06T22:22:33+0000;
1;12;4;110733080472262_709126411224674;data;data.*;fetched (200);2023-07-07 10:47:52.436908;Facebook:/<page-id>/posts;#Pamplona;2023-07-06T21:01:52+0000;2023-07-07T15:16:33+0000;
1;13;4;110733080472262_708911361246179;data;data.*;fetched (200);2023-07-07 10:47:52.436908;Facebook:/<page-id>/posts;LA POLICÍA CAPTURÓ A UNA PERSONA EN ZONA RURAL DE DURANIA Y RECUPERÓ UNA CAMIONETA QUE HABÍA SIDO HURTADA    *_En el registro en la parte interior del vehículo hurtado, fue hallada el arma de fuego. Uno de los vehículos institucionales presenta 5 impactos por arma de fuego._*   Efectivos adscritos a la Estación de Policía Durania, recibieron la denuncia de un hurto de un vehículo marca JAC de placas LIU 550 por parte de 03 sujetos con armas de fuego en el sector Carmen de Tonchalá zona rural de Cúcuta.   Posteriormente se conoce la ubicación del vehículo por medio del GPS, en la vereda Moretón, zona rural de Durania, es interceptada y al observar la presencia de la Policía se produce un cruce de disparos, donde resulta lesionado uno de los presuntos victimarios, oriundo de Villa del Rosario, quien pierde el control del vehículo y cae en zona boscosa a un lado de la vía. Las otras dos personas emprenden la huida con rumbo desconocido.   El lesionado fue trasladado a la ciudad de Cúcuta con el fin de recibir atención médica. Es capturado por el delito de hurto, porte ilegal de arma de fuego y se le incautó un arma de fuego tipo pistola. Fue dejado a disposición de la autoridad competente.   *_“la denuncia oportuna de la víctima permitió la reacción oportuna mediante plan candado, que deja como resultado la recuperación del automotor y la captura de uno de los presuntos delincuentes. Reiteramos la invitación a denunciar cualquier hecho que afecte la seguridad y convivencia a través de la línea 123 o al correo denor.sijin@policia.gov.co Absoluta Reserva.”_* Agregó el señor Coronel Alejandro Reyes comandante (e) departamento de Policía Norte de Santander.;2023-07-06T14:03:37+0000;2023-07-06T14:03:37+0000;
1;14;4;110733080472262_708386097965372;data;data.*;fetched (200);2023-07-07 10:47:52.436908;Facebook:/<page-id>/posts;#ATENCIÓN CINCO POLICÍAS HERIDOS, POR ATENTADO CON EXPLOSIVOS EN #BUCARAMANGA  #SANTANDER  En una estación de policía ubicada al norte de la ciudad,  un elemento explosivo fue lanzado contra los uniformados y motocicletas que se encontraban en el lugar,  el primer reporte indica que 5 policías resultaron heridos por la fuerte detonación.   #NoticiaEnDesarrollo  #Santander;2023-07-05T19:20:32+0000;2023-07-06T17:55:36+0000;
1;15;4;110733080472262_708331587970823;data;data.*;fetched (200);2023-07-07 10:47:52.436908;Facebook:/<page-id>/posts;#Pamplona  BUS INTERMUNICIPAL,  QUEDÓ ATRAPADO EN UNA VÍA DE LA CIUDAD   Un bus que realizaba su paso por una de las vías de la ciudad,  terminó enterrado en una de sus llantas , según la comunidad se presentó el daño por el mal estado de la vía.  #ReporteCiudadano;2023-07-05T17:40:42+0000;2023-07-07T13:17:20+0000;
1;16;4;110733080472262_708321894638459;data;data.*;fetched (200);2023-07-07 10:47:52.436908;Facebook:/<page-id>/posts;#Santander #Bucaramanga  PROTESTAS POR MUERTE DE MOTOCICLISTA,  EN OPERATIVO DE TRÁNSITO   Caos y disturbios se viven a esta hora en Bucaramanga,  por la muerte de un motociclista quien según versiones de la comunidad,  perdió la vida cuando un agente de tránsito le lanzó un cono al momento de evadir el punto de control.   Algunos motociclistas piden la renuncia del director de tránsito y hacen presencia en las instalaciones de la entidad, protestando por la muerte del Motorizado, policía y autoridades tratan de recuperar el orden público de la ciudad.;2023-07-05T17:23:51+0000;2023-07-07T00:03:28+0000;
1;17;4;110733080472262_707881568015825;data;data.*;fetched (200);2023-07-07 10:47:52.436908;Facebook:/<page-id>/posts;#NorteDeSantander #ATENCION PRIMERAS IMÁGENES DEL ATAQUE CONTRA UNA MINA, EN SAN FAUSTINO  La Explosión en una mina  de Indumax, en la vía a San Faustino Zona rural de #Cúcuta deja  más de 10 personas heridas y versiones preliminares indican de algunos muertos.  Personas que se encuentran en el lugar mencionan que un artefacto explosivo fue activado contra la mina y los trabajadores .  La Alcaldía de Cúcuta se pronunció al respecto.  Ante los hechos de violencia  presentados, en este momento, en el corregimiento de San Faustino, nos permitimos informar que el alcalde Jairo Yáñez y el equipo de emergencias y desastres, a través de la Secretaría de Salud, activaron de forma inmediata todas las conexiones correspondientes. Asimismo, la red de primer nivel está disponible para apoyar con ambulancias el traslado de las personas que así lo requieran.  Instalaremos un Puesto de Mando Unificado en la redoma del cárcel Modelo de Cúcuta para coordinar el desplazamiento de las ambulancias, en compañía de la Cruz Roja, y verificar si se habilita un corredor humanitario.  Estamos prestos para  brindar las garantías necesarias que nos permitan salvaguardar las vidas de las personas heridas. Rechazamos de manera contundente las acciones terroristas en nuestra territorio, estaremos brindando más información según corresponda.  #NoticiaEnDesarrollo;2023-07-05T02:12:16+0000;2023-07-05T12:42:02+0000;
