"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"updated_time";"error.message"
"0";"1";"None";"CanalRTU";"seed";"";"";"None";"None";"";"";"";""
"0";"2";"None";"ecuavis";"seed";"";"";"None";"None";"";"";"";""
"0";"3";"None";"diarioeltelegrafo";"seed";"";"";"None";"None";"";"";"";""
"0";"4";"None";"elcomerciocom";"seed";"";"";"None";"None";"";"";"";""
"0";"5";"None";"elmercurioec";"seed";"";"";"None";"None";"";"";"";""
"0";"6";"None";"eluniversoec";"seed";"";"";"None";"None";"";"";"";""
"0";"7";"None";"metroecuador";"seed";"";"";"None";"None";"";"";"";""
"0";"8";"None";"PrimiciasEcuador";"seed";"";"";"None";"None";"";"";"";""
"0";"9";"None";"tctelevision10";"seed";"";"";"None";"None";"";"";"";""
"0";"10";"None";"TeleamazonasEcuador";"seed";"";"";"None";"None";"";"";"";""
"1";"11";"1";"182258228481537_949780270699401";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"#ATENCIÓN|🚨🏞️ El ARCSA denunció vandalismo en sus instalaciones ubicadas en el parque Samanes en Guayaquil. Por el momento investigan el hecho en medio de la disputa por su administración. #Guayaquil #ParqueSamanes #Seguridad  #RTUNoticias   🔗 Ver más en canalrtu.tv: https://acortar.link/f5tMQe";"2025-03-13T23:01:45+0000";"2025-03-14T00:32:00+0000";""
"1";"12";"1";"182258228481537_949772390700189";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"#ObrasViales|🌊🚧 Trabajos urgentes en el puente Capulí para evitar daños por el río. Prefectura, Municipio y MTOP intervienen con maquinaria y material de estabilización. #Loja #InfraestructuraVial #ObrasUrgentes  #RTUNoticias   🔗Ver más en link de bio: https://acortar.link/6yNQRD";"2025-03-13T22:43:22+0000";"2025-03-13T22:43:22+0000";""
"1";"13";"1";"182258228481537_949769010700527";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"#Chimborazo|🚧👷‍♂️ Avanza la rehabilitación de la antigua vía Riobamba-Guano. Un tramo alterno para mejorar la conectividad mientras se amplía la carretera principal. #Obras #Chimborazo #Conectividad  #RTUNoticias   🔗 Ver más en canalrtu.tv: https://acortar.link/QHNfEV";"2025-03-13T22:35:25+0000";"2025-03-14T00:24:22+0000";""
"1";"14";"1";"182258228481537_949763434034418";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"#ObrasPúblicas|🚧👷‍♂️ Avanza el mejoramiento vial en la comunidad Paquibug, beneficiando a más de 600 familias en Guano. La obra conectará varias comunidades y fortalecerá el desarrollo local. #Chimborazo #ObrasViales  #RTUNoticias  🔗Ver más en link de bio: https://acortar.link/BOLz1l";"2025-03-13T22:23:22+0000";"2025-03-13T22:23:22+0000";""
"1";"15";"1";"182258228481537_949759650701463";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"#Seguridad |🚔⚡ La Policía ejecutó el operativo ‘Tormenta 21’ en Durán, capturando a cinco sospechosos y decomisando armas y drogas. Durante un enfrentamiento con los uniformados fue abatido un adolescente de 17 años. #OperativoPolicial #Tormenta21  #RTUNoticias   🔗Ver más en link de bio: https://acortar.link/JJbiDs";"2025-03-13T22:14:31+0000";"2025-03-14T01:43:03+0000";""
"1";"16";"1";"182258228481537_949725864038175";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"#Política|🏛️🛢️ La Asamblea Nacional aprobó con 68 votos a favor rechazar la adjudicación del contrato petrolero del campo Sacha y solicitó una investigación. Además, Nataly Morillo de ADN cuestionó a Veloz por no aceptar el cambio en el orden del día para tratar la supuesta entrega irregular de los nombramientos provisionales. #AsambleaEcuador #CampoSacha #Fiscalización  #RTUNoticias   🔗 Ver más en canalrtu.tv: https://acortar.link/4GDBRg";"2025-03-13T20:57:21+0000";"2025-03-14T01:51:59+0000";""
"1";"17";"1";"182258228481537_949706420706786";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"#ATENCIÓN| 🏛️🌳Emily Vera, concejala de Guayaquil durante la sesión reaccionó al Decreto Ejecutivo en el que Daniel Noboa solicitó al Ministerio del Ambiente administre el parque Samanes y que los trámites pertinentes para este cambio se encargue el Ministerio de Finanzas para que asigne los recursos para su manejo. #Guayaquil #ParqueSamanes #GestiónAmbiental  #RTUNoticias";"2025-03-13T20:13:55+0000";"2025-03-14T01:52:27+0000";""
"1";"18";"1";"182258228481537_949700460707382";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"#ATENCIÓN| 📢🏛️ El alcalde de Guayaquil, Aquiles Alvarez, anunció que el próximo jueves 20 de marzo el Concejo Municipal sesionará en el parque Samanes. Esto como rechazo del Decreto Ejecutivo emitido por Daniel Noboa en el que ordenó que el Ministerio del Ambiente administre el lugar recreativo. #Guayaquil #ParqueSamanes #ConcejoMunicipal  #RTUNoticias";"2025-03-13T20:02:18+0000";"2025-03-14T01:52:18+0000";""
"1";"19";"1";"182258228481537_949694114041350";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"#Política|📢Democracia SÍ anuncia su apoyo a Daniel Noboa en la segunda vuelta, argumentando que Ecuador necesita seguridad, empleo y estabilidad. El partido político denunció que en el proceso electoral se encontraron anomalías y se les prohibió el derecho de participación política. 🗳️#Elecciones2025 #DemocraciaSí #SegundaVuelta  #RTUNoticias   🔗Ver más en link de bio: https://acortar.link/CwEdAy";"2025-03-13T19:48:21+0000";"2025-03-14T01:36:29+0000";""
"1";"20";"1";"182258228481537_949687007375394";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"🚨 Juan Esteban Guarderas exige la remoción inmediata de personal electoral en varias provincias por presuntas alteraciones en las actas. Sin un cambio, advierte que no habrá garantías de transparencia para la segunda vuelta. 🗳️ #Elecciones2025 #TransparenciaElectoral   🔗 Ver más en #RTUNoticias: https://n9.cl/77qmw";"2025-03-13T19:32:22+0000";"2025-03-14T01:47:26+0000";""
"1";"21";"1";"182258228481537_949678504042911";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"🌳 El alcalde de Guayaquil, Aquiles Álvarez, rechazó el Decreto Ejecutivo que transfiere la gestión del Parque Samanes al MAATE, calificando la decisión de ""persecución absurda"". 💼 Defiende la reactivación del parque y advierte sobre la posible violación de la propiedad privada. 🏞️ #Guayaquil #ParqueSamanes  🔗 Ver más en #RTUNoticias: https://n9.cl/9nt0k";"2025-03-13T19:15:28+0000";"2025-03-14T00:50:04+0000";""
"1";"22";"1";"182258228481537_949675760709852";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"🛢️ Pamela Aguirre aseguró que el contrato sigue vigente, pese a que el Gobierno sostiene que ""se cayó"" por ello se pide que el presidente Daniel Noboa la derogación inmediata de la resolución. 🔹 La Comisión de Fiscalización continuará con la investigación y convocará a la ministra Inés Manzano y funcionarios de Petroecuador para que rindan cuentas.  #RTUNoticias";"2025-03-13T19:09:59+0000";"2025-03-14T01:21:48+0000";""
"1";"23";"1";"182258228481537_949665547377540";"data";"data.*";"fetched (200)";"2025-03-13 20:53:55.575087";"Facebook:/<page-id>/posts";"#Seguridad|🚔El Coronel Hólguer Cortez, en una rueda de prensa informó que sobre la explosión en las afueras de la Penitenciaría del Litoral podría ser una reacción de los grupos delincuenciales al anuncio que emitió el Presidente del despliegue uniformados. La Policía Nacional se encuentra investigando el hecho para esclarecer sospechas. #Explosión #Guayaquil  #RTUNoticias";"2025-03-13T18:49:09+0000";"2025-03-14T01:50:23+0000";""
