"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"updated_time";"error.message"
"0";"1";"None";"CancilleriaCol";"seed";"";"";"None";"None";"";"";"";""
"0";"2";"None";"RegistraduriaNacional";"seed";"";"";"None";"None";"";"";"";""
"0";"3";"None";"MinIgualdadCol";"seed";"";"";"None";"None";"";"";"";""
"0";"4";"None";"acnurcolombia";"seed";"";"";"None";"None";"";"";"";""
"0";"5";"None";"OIMColombia";"seed";"";"";"None";"None";"";"";"";""
"0";"6";"None";"unicefcolombia";"seed";"";"";"None";"None";"";"";"";""
"0";"7";"None";"MigracionCol";"seed";"";"";"None";"None";"";"";"";""
"0";"8";"None";"infopalanteorg";"seed";"";"";"None";"None";"";"";"";""
"1";"9";"1";"594700783880121_870696691752888";"data";"data.*";"fetched (200)";"2025-04-22 07:23:22.484406";"Facebook:/<page-id>/posts";"El #GobiernoDelCambio está comprometido en fortalecer las acciones de prevención del reclutamiento en el territorio, mediante la oferta institucional de las 19 entidades que conforman la #CIPRUNNA.";"2024-06-29T18:00:00+0000";"2024-07-10T04:02:21+0000";""
"1";"10";"1";"594700783880121_870569771765580";"data";"data.*";"fetched (200)";"2025-04-22 07:23:22.484406";"Facebook:/<page-id>/posts";"Cancillería lidera junto con las autoridades respectivas las facilidades de ingreso para los participantes de la COP16  Con miras a cumplir con los compromisos adquiridos en el Acuerdo Sede suscrito con la Secretaría del Convenio sobre Diversidad Biológica, la Cancillería convocó a diferentes entidades como el Ministerio de Ambiente y Desarrollo Sostenible, Migración Colombia, la Aeronáutica Civil, la Asociación Internacional de Transporte Aéreo (IATA), entre otros.";"2024-06-29T13:51:17+0000";"2024-07-10T04:02:34+0000";""
"1";"11";"1";"594700783880121_869895205166370";"data";"data.*";"fetched (200)";"2025-04-22 07:23:22.484406";"Facebook:/<page-id>/posts";"🌈#DiversidadConDignidad es garantizar el derecho fundamental de todas las personas a vivir una vida libre de odio, discriminación y violencia.   Desde nuestras Embajadas, Consulados y Misiones, enviamos un mensaje de reconocimiento y reivindicación: ¡La igualdad no es solo un ideal, es un derecho de todas y todos!";"2024-06-28T12:33:45+0000";"2024-07-10T04:02:46+0000";""
"1";"12";"1";"594700783880121_869882025167688";"data";"data.*";"fetched (200)";"2025-04-22 07:23:22.484406";"Facebook:/<page-id>/posts";"¡Hoy celebramos que la diversidad nos hace fuertes!   Desde la Cancillería, reafirmamos nuestro compromiso de apoyar políticas y acciones que promuevan la igualdad de género y la diversidad, asegurando que los derechos de todas las personas sean reconocidos y protegidos.   🏳️‍🌈#DiversidadConDignidad 🏳️‍⚧️";"2024-06-28T12:04:15+0000";"2024-07-10T04:02:57+0000";""
"1";"13";"1";"594700783880121_869869911835566";"data";"data.*";"fetched (200)";"2025-04-22 07:23:22.484406";"Facebook:/<page-id>/posts";"🌈#DiversidadConDignidad es reconocer y valorar la lucha histórica de las personas  LGBTIQ+ e impulsar acciones para construir un mundo donde el respeto y la dignidad sean garantizados sin importar la identidad y orientación sexual.   ¡Con la #PolíticaExteriorFeminista trabajamos por un mundo justo e igualitario para todas las personas!";"2024-06-28T11:36:44+0000";"2024-07-04T14:25:30+0000";""
