level;id;parent_id;object_id;object_type;object_key;query_status;query_time;query_type;message;created_time;updated_time;error.message
0;1;None;CarolinaTohaM;seed;;;None;None;;;;
0;2;None;JeannetteJaraRoman;seed;;;None;None;;;;
0;3;None;GonzaloWinterPresidente;seed;;;None;None;;;;
0;4;None;joseantoniokast;seed;;;None;None;;;;
0;5;None;DiputadoJohannesKaiser;seed;;;None;None;;;;
0;6;None;evelynmatthei;seed;;;None;None;;;;
1;27;1;CarolinaTohaM;offcut;;fetched (200);2025-05-30 21:11:46.168437;Facebook:/<page-id>/posts;;;;
1;46;2;JeannetteJaraRoman;offcut;;fetched (200);2025-05-30 21:11:46.953879;Facebook:/<page-id>/posts;;;;
1;81;3;GonzaloWinterPresidente;offcut;;fetched (200);2025-05-30 21:11:47.660675;Facebook:/<page-id>/posts;;;;
1;90;4;joseantoniokast;offcut;;fetched (200);2025-05-30 21:11:48.529686;Facebook:/<page-id>/posts;;;;
1;103;5;DiputadoJohannesKaiser;offcut;;fetched (200);2025-05-30 21:11:49.315980;Facebook:/<page-id>/posts;;;;
1;130;6;evelynmatthei;offcut;;fetched (200);2025-05-30 21:11:49.972738;Facebook:/<page-id>/posts;;;;
1;7;1;1569387640022323_1093166072626989;data;data.*;fetched (200);2025-05-30 21:11:46.168437;Facebook:/<page-id>/posts;Pasamos por la Feria Caupolicán de Viña del Mar y nos llevamos en los ojos los colores, en las manos los productos frescos y en el corazón el cariño de su gente. 🌽🍅🥬 ¡Qué maravilla es recorrer las ferias de Chile! #CreoEnChile;2025-05-17T18:03:41+0000;2025-05-30T20:17:04+0000;
1;8;1;1569387640022323_1093037059306557;data;data.*;fetched (200);2025-05-30 21:11:46.168437;Facebook:/<page-id>/posts;✨ Tres generaciones, tres aprendizajes, un mismo cariño que se hereda y se transforma. De la abuela a la madre. De la madre a la hija. De la hija a la abuela. Moy y Matilde, las quiero mucho ❤️ #CreoEnChile;2025-05-17T14:08:33+0000;2025-05-24T02:20:59+0000;
1;9;1;1569387640022323_1091958862747710;data;data.*;fetched (200);2025-05-30 21:11:46.168437;Facebook:/<page-id>/posts;¿Qué podemos hacer frente a la baja natalidad? Primero, tomarnos en serio el tema y dejar atrás las soluciones mágicas. Respetar las decisiones de cada persona. La maternidad es un derecho, no una obligación.   1️⃣ El Estado debe apoyar a quienes sí quieren tener hijos y enfrentan barreras: acceso a tratamientos de fertilidad, vivienda, empleo digno, corresponsabilidad, postnatal irrenunciable, sala cuna y jardines infantiles.  2️⃣ Prepararnos para la sociedad que viene. La baja natalidad es un fenómeno mundial. En vez de presionar a las mujeres, debemos aprovechar el potencial laboral de miles de mujeres que hoy podrían trabajar si tuvieran las condiciones.  3️⃣ Cuidar a las niñas y niños que ya están aquí. En Chile nacen 130 mil niños al año, pero hay 400 mil que crecen en situación de vulnerabilidad. Urge un sistema de cuidados y protección real para ellos.  🌱 Progresar es anticiparse, acompañar y cuidar, no imponer. Ese es el Chile que queremos construir.  #CreoEnChile;2025-05-15T23:46:31+0000;2025-05-22T21:20:23+0000;
1;10;1;1569387640022323_1091769486099981;data;data.*;fetched (200);2025-05-30 21:11:46.168437;Facebook:/<page-id>/posts;Hoy de visita en la región de Valparaíso. Acompáñenme por acá y sigan el debate a las 12 hrs en el link que está en las historias.;2025-05-15T16:20:39+0000;2025-05-28T02:03:11+0000;
1;11;1;1569387640022323_1091058419504421;data;data.*;fetched (200);2025-05-30 21:11:46.168437;Facebook:/<page-id>/posts;Ayer presenté mi visión del desarrollo digital de Chile en la conferencia FinteChile. Nuestro país tiene una gran oportunidad de dar un nuevo salto de crecimiento apostando por la innovación, la digitalización y la colaboración.  El ecosistema FinTech es un ejemplo de cómo, cuando el Estado habilita y regula con criterio, la innovación florece, se crean empleos y se abren nuevas oportunidades para todos.  Chile tiene todo para ser un hub digital de América Latina. Solo necesitamos decisión y visión de futuro.  #CreoEnChile;2025-05-14T13:51:30+0000;2025-05-30T19:08:58+0000;
1;12;1;1569387640022323_1090673212876275;data;data.*;fetched (200);2025-05-30 21:11:46.168437;Facebook:/<page-id>/posts;Hay líderes cuyas palabras pesan más porque su vida las respalda. Pepe Mujica es uno de ellos. Comparto aquí algunas de sus frases, para recordarlo con admiración y cariño.;2025-05-13T23:00:56+0000;2025-05-16T11:21:51+0000;
