"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"updated_time";"error.message"
"0";"1";"None";"evelynmatthei";"seed";"";"";"None";"None";"";"";"";""
"0";"2";"None";"joseantoniokast";"seed";"";"";"None";"None";"";"";"";""
"0";"3";"None";"JeannetteJaraRoman";"seed";"";"";"None";"None";"";"";"";""
"0";"4";"None";"parisioficial";"seed";"";"";"None";"None";"";"";"";""
"1";"5";"1";"203788766452764_1362289518600161";"data";"data.*";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"Gracias a Evópoli por reforzar con fuerza este proyecto. Con responsabilidad y con la mejor gente, vamos a recuperar el crecimiento, crear 800 mil empleos y enfrentar la inmigración descontrolada que trajo nuevos delitos a Chile. Ya lo hemos hecho antes y lo vamos a volver a hacer, sin que nos tiemble la mano contra el crimen organizado.   #ParaLevantarChile 🇨🇱";"2025-08-09T21:36:37+0000";"2025-08-12T03:19:31+0000";""
"1";"6";"1";"203788766452764_1361553808673732";"data";"data.*";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"Te has dado cuenta que todo está más caro y que cuesta llegar a fin de mes? Yo te explico qué es la inflación y mis propuestas.  #ParaLevantarChile 🇨🇱";"2025-08-09T00:39:45+0000";"2025-08-12T13:32:57+0000";""
"1";"7";"1";"203788766452764_1361413442021102";"data";"data.*";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"Felicito la labor de las policías y la fiscalía en la investigación y detenciones, pero no se pueden normalizar los secuestros en Chile. Más seguridad, coraje y voluntad #ParaLevantarChile🇨🇱";"2025-08-08T19:24:50+0000";"2025-08-12T03:17:42+0000";""
"1";"8";"1";"203788766452764_1360802758748837";"data";"data.*";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"Sin transporte no se mueve nada. Por eso, para nosotros, el transporte es motor de la economía y prioridad #ParaLevantarChile🇨🇱";"2025-08-08T00:48:05+0000";"2025-08-12T00:59:23+0000";""
"1";"9";"1";"203788766452764_1360470148782098";"data";"data.*";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"La #minería es lo más importante que tenemos en el país #ParaLevantarChile 🇨🇱 y tenemos metas ambiciosas:  ✅ Un millón de toneladas de carbonato de litio para el 2035 ✅ 7 millones de toneladas de cobre al año para el 2023.  ✅ Disminuir la carga impositiva de 27% a 23% durante el primer año al impuesto de primera categoría  ✅ Simplificación de los permisos, con tiempos más cortos.  Chile tiene que ser más generoso con las regiones del norte que son la que producen esta enorme riqueza para el país.";"2025-08-07T14:28:16+0000";"2025-08-12T12:51:10+0000";""
"1";"10";"1";"203788766452764_1360085705487209";"data";"data.*";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"Agradezco de corazón al Consejo General de la UDI, mi casa, por la confianza, por el cariño y por seguir caminando juntos. Tenemos un tremendo equipo, con convicción, experiencia y amor por Chile.  Estamos listos para lo que viene. Estamos listos #ParaLevantarChile 🇨🇱";"2025-08-07T03:00:10+0000";"2025-08-12T02:22:57+0000";""
"1";"11";"1";"203788766452764_1359811752181271";"data";"data.*";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"Cuando apoyamos a nuestras #Pymes, el país entero se pone en movimiento #ParaLevantarChile🇨🇱";"2025-08-06T17:43:40+0000";"2025-08-11T19:41:25+0000";""
"1";"12";"1";"203788766452764_1359221462240300";"data";"data.*";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"Las pymes son la columna vertebral #ParaLevantarChile 🇨🇱  ✅ 800.000 nuevos empleos en 4 años ➡️ Con foco en mujeres, jóvenes y adultos mayores.  ✅ Rebaja del impuesto a las pymes de 12,5% a 10% ➡️ Para que emprender no sea un castigo, sino una oportunidad.  ✅ Licencia automática para operar ➡️ Sin letra chica ni trámites interminables. ¡Basta de burocracia!  Una pyme es una familia con esperanza. Vamos a estar del lado de quienes se la juegan por Chile.";"2025-08-06T00:11:59+0000";"2025-08-12T00:29:30+0000";""
"1";"13";"1";"203788766452764_1359054368923676";"data";"data.*";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"Chile enfrenta una amenaza mayor: el narcotráfico avanzando contra el Estado y nuestras familias. Podría quedarme entrampada en discusiones con otros candidatos… pero eso no ayuda a nadie. Prefiero levantar la mirada, dejar las rencillas de lado y enfocarme en lo que de verdad importa.   #ParaLevantarChile 🇨🇱";"2025-08-05T18:22:19+0000";"2025-08-12T11:19:53+0000";""
"1";"14";"1";"203788766452764_1358875345608245";"data";"data.*";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"Aquí nadie sobra, hoy la pelea que importa es el bienestar de Chile, que nuestro país crezca y que recuperemos la paz ❤️Con diálogo y compromiso #ALevantarChile 🇨🇱";"2025-08-05T13:47:11+0000";"2025-08-11T19:42:13+0000";""
"1";"15";"1";"203788766452764_1358390442323402";"data";"data.*";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"Con cada uno de ustedes #ParaLevantarChile🇨🇱 Gracias Concepción!";"2025-08-04T23:02:29+0000";"2025-08-10T12:47:33+0000";""
"1";"16";"1";"203788766452764_1358265315669248";"data";"data.*";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"Hoy debatimos el rol de las gobernaciones y como descentralizar Chile.   La corrupción no tiene color político. Ha tocado partidos, instituciones y poderes del Estado. O nos unimos para erradicarla, venga de donde venga, o Chile no tiene futuro. No más mirar para el lado.   Vamos a #LevantarChile 🇨🇱";"2025-08-04T18:47:05+0000";"2025-08-11T16:09:25+0000";""
"1";"17";"1";"evelynmatthei";"offcut";"";"fetched (200)";"2025-08-12 09:40:00.241512";"Facebook:/<page-id>/posts";"";"";"";""
